model,term,estimate,std_error,p_value,r_squared
stress_level,(Intercept),5.66852281147665,0.39444380217600195,4.7636146815897696e-45,0.8945060504435931
stress_level,daily_social_media_hours,1.1265499808738846,0.0183160427015486,0,0.8945060504435931
stress_level,sleep_hours,-0.6024112623293407,0.039595454268014876,4.7474431788641e-50,0.8945060504435931
stress_level,screen_time_before_sleep,-0.0232158931670469,0.035976181754872175,0.5187839556552161,0.8945060504435931
stress_level,physical_activity,-1.139987914222571,0.033768303811278495,5.185667647036515e-206,0.8945060504435931
stress_level,age,-0.008257601920904916,0.009886911339813561,0.40368225264820157,0.8945060504435931
stress_level,gender_labelMale,-0.06944192591481134,0.03963701803278152,0.07990623929526162,0.8945060504435931
stress_level,platform_usageInstagram,0.012330191643389029,0.055913420687741175,0.8254820058661202,0.8945060504435931
stress_level,platform_usageOther,-0.010797180752491758,0.055861425282160586,0.8467514775832341,0.8945060504435931
stress_level,platform_usageTikTok,-0.042034588946693374,0.0562241721153929,0.4547571177481049,0.8945060504435931
stress_level,social_interaction_levellow,-0.024512374760926613,0.04863410973949125,0.6142946834135963,0.8945060504435931
stress_level,social_interaction_levelmedium,-0.02711041520911065,0.04824983829156291,0.5742512719748447,0.8945060504435931
anxiety_level,(Intercept),4.995965936178925,0.5327686996303093,1.4703405955932584e-20,0.8028296974243142
anxiety_level,daily_social_media_hours,1.0606631811057388,0.024739175007047323,3.274880654157838e-301,0.8028296974243142
anxiety_level,sleep_hours,-0.5664577824909615,0.05348092317655157,1.1354468248877105e-25,0.8028296974243142
anxiety_level,screen_time_before_sleep,-0.04693475578508721,0.04859243183812163,0.33419503916934834,0.8028296974243142
anxiety_level,physical_activity,-0.9784397869658061,0.04561028772922274,8.244318186064306e-94,0.8028296974243142
anxiety_level,age,5.50536956717646e-4,0.013354087119164026,0.9671189528998301,0.8028296974243142
anxiety_level,gender_labelMale,-0.03550696215527429,0.05353706266406362,0.5072497727208953,0.8028296974243142
anxiety_level,platform_usageInstagram,0.04941617192426252,0.0755213296985673,0.5129571394369629,0.8028296974243142
anxiety_level,platform_usageOther,0.02447348637276144,0.07545110036687264,0.7456910861909336,0.8028296974243142
anxiety_level,platform_usageTikTok,0.005842170333105116,0.07594105649641517,0.9386851569361012,0.8028296974243142
anxiety_level,social_interaction_levellow,0.007741340644341102,0.06568928516723169,0.9061977321487596,0.8028296974243142
anxiety_level,social_interaction_levelmedium,-0.04359360483108166,0.06517025609772056,0.5036093827652706,0.8028296974243142
